sale_id,date,item,qty,amount,status
S00001,2025-01-01,apple tart,1,5.50,paid
S00002,2025-01-01,seed rye,1,8.25,paid
S00003,2025-01-01,filter coffee,1,3.00,paid
S00004,2025-01-01,sourdough loaf,2,15.00,paid
S00005,2025-01-01,croissant,1,3.75,paid
S00006,2025-01-01,apple tart,1,5.50,paid
S00007,2025-01-01,apple tart,1,5.50,paid
S00008,2025-01-01,cinnamon bun,2,8.50,paid
S00009,2025-01-01,apple tart,1,5.50,paid
S00010,2025-01-01,filter coffee,1,3.00,paid
S00011,2025-01-01,cinnamon bun,1,4.25,paid
S00012,2025-01-02,seed rye,2,16.50,paid
S00013,2025-01-02,filter coffee,2,6.00,paid
S00014,2025-01-02,apple tart,3,16.50,paid
S00015,2025-01-02,apple tart,2,11.00,paid
S00016,2025-01-02,filter coffee,1,3.00,paid
S00017,2025-01-02,croissant,3,11.25,paid
S00018,2025-01-02,filter coffee,2,6.00,paid
S00019,2025-01-02,cinnamon bun,3,12.75,paid
S00020,2025-01-02,croissant,1,3.75,paid
S00021,2025-01-02,seed rye,1,,paid
S00022,2025-01-02,seed rye,1,8.25,refunded
S00023,2025-01-02,apple tart,3,16.50,paid
S00024,2025-01-02,seed rye,2,16.50,paid
S00025,2025-01-02,croissant,1,3.75,void
S00026,2025-01-03,seed rye,1,8.25,paid
S00027,2025-01-03,filter coffee,1,3.00,paid
S00028,2025-01-03,sourdough loaf,2,15.00,void
S00029,2025-01-03,sourdough loaf,3,22.50,paid
S00030,2025-01-03,sourdough loaf,1,7.50,refunded
S00031,2025-01-03,sourdough loaf,2,15.00,paid
S00032,2025-01-03,seed rye,1,8.25,paid
S00033,2025-01-03,seed rye,1,8.25,paid
S00034,2025-01-03,croissant,1,3.75,paid
S00035,2025-01-03,cinnamon bun,3,12.75,paid
S00036,2025-01-03,apple tart,2,11.00,refunded
S00037,2025-01-03,cinnamon bun,1,4.25,paid
S00038,2025-01-03,seed rye,2,16.50,paid
S00039,2025-01-03,sourdough loaf,3,22.50,paid
S00040,2025-01-03,croissant,2,7.50,paid
S00041,2025-01-03,filter coffee,2,6.00,paid
S00042,2025-01-03,croissant,1,3.75,paid
S00043,2025-01-03,seed rye,2,16.50,paid
S00044,2025-01-04,sourdough loaf,3,22.50,paid
S00045,2025-01-04,croissant,1,3.75,paid
S00046,2025-01-04,cinnamon bun,1,4.25,paid
S00047,2025-01-04,filter coffee,3,9.00,paid
S00048,2025-01-04,seed rye,1,8.25,paid
S00049,2025-01-04,croissant,2,7.50,paid
S00050,2025-01-04,apple tart,1,5.50,paid
S00051,2025-01-04,sourdough loaf,2,15.00,paid
S00052,2025-01-04,filter coffee,2,6.00,paid
S00053,2025-01-04,seed rye,2,16.50,paid
S00054,2025-01-04,filter coffee,2,6.00,paid
S00055,2025-01-04,cinnamon bun,2,8.50,paid
S00056,2025-01-04,filter coffee,2,6.00,paid
S00057,2025-01-04,cinnamon bun,1,4.25,paid
S00058,2025-01-04,croissant,1,3.75,paid
S00059,2025-01-04,filter coffee,2,6.00,paid
S00060,2025-01-04,seed rye,2,16.50,paid
S00061,2025-01-04,sourdough loaf,1,7.50,paid
S00062,2025-01-04,seed rye,1,8.25,paid
S00063,2025-01-04,sourdough loaf,1,7.50,paid
S00064,2025-01-04,croissant,2,7.50,paid
S00065,2025-01-04,seed rye,2,16.50,paid
S00066,2025-01-04,apple tart,1,5.50,paid
S00067,2025-01-04,cinnamon bun,1,4.25,paid
S00068,2025-01-05,filter coffee,1,3.00,paid
S00069,2025-01-05,croissant,1,3.75,paid
S00070,2025-01-05,croissant,1,3.75,paid
S00071,2025-01-05,cinnamon bun,1,4.25,paid
S00072,2025-01-05,filter coffee,1,3.00,paid
S00073,2025-01-05,filter coffee,2,6.00,paid
S00074,2025-01-05,croissant,1,3.75,paid
S00075,2025-01-05,cinnamon bun,1,4.25,paid
S00076,2025-01-05,filter coffee,1,3.00,paid
S00077,2025-01-05,cinnamon bun,2,8.50,paid
S00078,2025-01-05,filter coffee,1,3.00,paid
S00079,2025-01-05,croissant,1,3.75,refunded
S00079,2025-01-05,croissant,1,3.75,refunded
S00080,2025-01-05,filter coffee,1,3.00,paid
S00081,2025-01-05,sourdough loaf,1,7.50,paid
S00082,2025-01-05,sourdough loaf,1,7.50,paid
S00083,2025-01-05,croissant,3,11.25,paid
S00084,2025-01-05,apple tart,2,11.00,paid
S00085,2025-01-05,apple tart,2,11.00,paid
S00086,2025-01-05,seed rye,2,16.50,paid
S00087,2025-01-05,apple tart,3,16.50,refunded
S00088,2025-01-05,apple tart,1,5.50,refunded
S00089,2025-01-05,sourdough loaf,3,22.50,paid
S00090,2025-01-05,sourdough loaf,3,22.50,paid
S00091,2025-01-05,apple tart,3,16.50,paid
S00092,2025-01-05,croissant,1,3.75,paid
